model,epoch,train_loss,val_loss,test_accuracy
A0_B0_C0_D0,1,0.4283778393020233,0.198281776253134,76.5625
A0_B0_C0_D0,2,0.19486320949702834,0.2048585183918476,76.5625
A0_B0_C0_D0,3,0.17567320379118126,0.20829920768737792,76.5625
A0_B0_C0_D0,4,0.17582899907623262,0.24608377665281295,76.5625
A0_B0_C0_D0,5,0.17659418315937123,0.3282824318856001,76.5625
A0_B0_C0_D0,6,0.16739883925765753,0.23721333257853985,76.5625
A0_B0_C0_D0,7,0.15858193915482843,0.24082489227876067,76.5625
A0_B0_C0_D0,8,0.15933968527242542,0.26533858431503177,76.5625
A0_B0_C0_D0,9,0.1554658298070232,0.24335631262511015,76.5625
A0_B0_C0_D0,10,0.18872740495329102,0.7286198876798153,76.5625
A4_B70_C2_D3,1,0.3011415315405378,0.22759991767816246,86.328125
A4_B70_C2_D3,2,0.21024865236765933,0.2637291545048356,86.328125
A4_B70_C2_D3,3,0.1735818002636562,0.2087378536351025,86.328125
A4_B70_C2_D3,4,0.16421777980823843,0.33813926167786124,86.328125
A4_B70_C2_D3,5,0.15758260151476794,0.25253679635934534,86.328125
A4_B70_C2_D3,6,0.12642651486149023,0.32078319136053324,86.328125
A4_B70_C2_D3,7,0.1189647947978404,0.2725348975509405,86.328125
A4_B70_C2_D3,8,0.11004819224790652,0.2998924532905221,86.328125
A4_B70_C2_D3,9,0.09792177771604708,0.31012039110064504,86.328125
A4_B70_C2_D3,10,0.0879360462180866,0.2949764121323824,86.328125
